sample_id,image,damage_id,damage_class,damage_confidence,damage_bbox_xyxy,predicted_part_id,predicted_part_class,overlap_score,alternatives,reference_part_class,reviewer,notes
m001,002267.jpg,d1,crack,0.9092,163.2 317.6 448.2 445.2,p3,back_bumper,1.0,back_light:0.0083,,,
m002,000570.jpg,d1,dent,0.5955,157.3 451.6 429.8 965.4,p1,wheel,0.1761,back_light:0.0248,,,
m003,003812.jpg,d1,glass_shatter,0.9139,69.1 92.1 715.3 527.7,p1,front_glass,0.9965,hood:0.3253; hood:0.2635; front_door:0.1057,,,
m004,000926.jpg,d3,lamp_broken,0.5062,171.6 294.8 279.1 351.5,p5,front_bumper,1.0,hood:0.334,,,
m005,002385.jpg,d1,scratch,0.9332,305.3 251.6 534.2 570.6,p8,front_bumper,1.0,wheel:0.2905; front_glass:0.0464; front_light:0.0116,,,
m006,001409.jpg,d1,tire_flat,0.9687,234.3 140.6 825.1 687.6,p1,wheel,0.9175,,,,
m007,000088.jpg,d2,crack,0.5538,366.0 164.6 514.2 573.2,,none,0.0,,,,
m008,001502.jpg,d3,dent,0.6729,348.1 329.5 610.5 499.9,p2,front_bumper,1.0,front_bumper:0.52,,,
m009,003793.jpg,d1,glass_shatter,0.9348,44.8 121.0 999.2 667.0,p1,back_glass,0.7233,,,,
m010,000950.jpg,d2,lamp_broken,0.5651,435.1 124.9 699.6 334.3,p1,front_bumper,1.0,,,,
m011,000023.jpg,d4,scratch,0.3003,543.3 314.7 634.2 411.0,p7,front_bumper,1.0,,,,
m012,000822.jpg,d1,tire_flat,0.9516,202.2 29.1 843.9 633.6,p1,wheel,0.9185,front_bumper:0.4177; front_bumper:0.2676; hood:0.004,,,
m013,000520.jpg,d1,crack,0.5846,222.4 276.1 263.4 354.9,p3,back_bumper,1.0,front_light:0.0571,,,
m014,002140.jpg,d1,dent,0.6152,577.9 208.7 880.2 406.6,p2,front_bumper,1.0,,,,
m015,000288.jpg,d1,glass_shatter,0.8734,235.6 100.7 1000.0 537.1,p1,front_door,0.0095,,,,
m016,001900.jpg,d1,lamp_broken,0.9344,1.5 177.8 462.0 515.9,p7,back_light,0.9807,back_door:0.9705; front_bumper:0.9277; front_bumper:0.1175,,,
m017,000766.jpg,d1,scratch,0.8326,0.0 0.0 751.6 563.0,p1,wheel,0.5982,front_bumper:0.5029,,,
m018,000589.jpg,d1,tire_flat,0.9728,300.7 123.9 598.2 534.8,p1,wheel,0.97,back_bumper:0.0098,,,
m019,002810.jpg,d1,crack,0.7252,474.0 198.4 516.8 465.6,p2,back_door,0.9865,back_door:0.6769; front_bumper:0.2753,,,
m020,002567.jpg,d2,dent,0.4996,323.6 363.9 764.5 499.2,p5,back_door,0.9899,front_bumper:0.9811; wheel:0.3302,,,
m021,000433.jpg,d1,glass_shatter,0.9379,29.6 57.5 1000.0 587.4,p1,front_glass,1.0,hood:0.0687,,,
m022,003392.jpg,d1,lamp_broken,0.9463,526.2 0.0 1000.0 422.7,p4,trunk_or_tailgate,1.0,front_light:0.1649; front_bumper:0.1036; wheel:0.0009,,,
m023,002931.jpg,d2,scratch,0.612,490.2 168.3 995.7 524.8,p2,front_bumper,0.9954,wheel:0.0607,,,
m024,001885.jpg,d1,tire_flat,0.9605,132.1 170.9 616.7 653.1,p1,wheel,0.9516,,,,
m025,003226.jpg,d4,crack,0.5774,512.0 892.2 601.8 932.5,p1,front_bumper,1.0,,,,
m026,000965.jpg,d4,dent,0.7548,406.3 323.7 758.3 640.1,p1,back_door,1.0,,,,
m027,003062.jpg,d1,glass_shatter,0.9303,30.1 43.4 1000.0 667.0,p1,front_bumper,0.1059,,,,
