epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7046,1.66487,3.57423,1.7845,0.72022,0.25698,0.30098,0.16763,1.756,3.50731,1.84725,0.000329545,0.000329545,0.000329545
2,56.8616,1.68561,2.86788,1.78498,0.29703,0.37565,0.28863,0.15255,1.96133,3.93161,2.07438,0.000656316,0.000656316,0.000656316
3,69.9217,1.70129,2.70073,1.81002,0.5593,0.33948,0.29573,0.15782,1.86932,3.3865,1.99544,0.000976487,0.000976487,0.000976487
4,83.5357,1.70248,2.62197,1.79075,0.59345,0.34512,0.3428,0.20846,1.86785,3.61807,2.04471,0.0009703,0.0009703,0.0009703
5,96.8064,1.6719,2.48352,1.77198,0.42741,0.3747,0.36457,0.22933,1.87593,3.00257,2.05797,0.0009604,0.0009604,0.0009604
6,110.544,1.67844,2.42021,1.76286,0.47047,0.38676,0.37276,0.24084,1.83829,3.00946,2.05334,0.0009505,0.0009505,0.0009505
7,124.201,1.61773,2.31474,1.72729,0.57491,0.38652,0.4137,0.27723,1.8066,2.65944,1.94963,0.0009406,0.0009406,0.0009406
8,137.764,1.59871,2.22599,1.69653,0.41958,0.42071,0.43601,0.284,1.74422,2.49233,1.84855,0.0009307,0.0009307,0.0009307
9,151.256,1.58479,2.19408,1.69966,0.64718,0.45189,0.46544,0.30461,1.67695,2.5054,1.75854,0.0009208,0.0009208,0.0009208
10,164.872,1.56555,2.17453,1.68371,0.58891,0.4706,0.5005,0.31737,1.7135,2.3112,1.76872,0.0009109,0.0009109,0.0009109
11,177.743,1.53268,2.08165,1.64295,0.6403,0.46481,0.47377,0.34088,1.66743,2.50832,1.81839,0.000901,0.000901,0.000901
12,190.744,1.52656,2.07342,1.66539,0.52458,0.45314,0.44432,0.32073,1.67808,2.61759,1.81852,0.0008911,0.0008911,0.0008911
13,202.839,1.5416,2.06952,1.66336,0.54524,0.5044,0.51138,0.35039,1.69718,2.26255,1.78099,0.0008812,0.0008812,0.0008812
14,215.388,1.52628,2.01516,1.64463,0.56781,0.52083,0.52592,0.33498,1.81554,2.22016,1.87239,0.0008713,0.0008713,0.0008713
15,227.729,1.51217,1.99833,1.64198,0.57947,0.50901,0.51269,0.37048,1.57467,2.15028,1.71306,0.0008614,0.0008614,0.0008614
16,239.847,1.48456,1.9448,1.61656,0.59977,0.53067,0.54347,0.37726,1.59752,2.18559,1.6946,0.0008515,0.0008515,0.0008515
17,251.753,1.4717,1.90808,1.6052,0.6069,0.49923,0.52215,0.35483,1.68586,2.21423,1.78562,0.0008416,0.0008416,0.0008416
18,263.885,1.47358,1.91939,1.59699,0.48091,0.52251,0.50901,0.36123,1.6678,2.19539,1.78167,0.0008317,0.0008317,0.0008317
19,275.826,1.48068,1.87721,1.58807,0.62898,0.52571,0.52408,0.36813,1.65751,2.19178,1.71622,0.0008218,0.0008218,0.0008218
20,287.401,1.43463,1.83387,1.55925,0.5339,0.54534,0.52569,0.37375,1.59927,2.102,1.64562,0.0008119,0.0008119,0.0008119
21,298.588,1.43301,1.80759,1.56274,0.62571,0.51314,0.54215,0.35822,1.66399,2.04432,1.73554,0.000802,0.000802,0.000802
22,309.789,1.43793,1.8294,1.5692,0.57982,0.55212,0.55819,0.3868,1.61048,1.93788,1.69535,0.0007921,0.0007921,0.0007921
23,321.487,1.43515,1.8222,1.58191,0.54341,0.56559,0.56133,0.39835,1.62318,1.99077,1.72008,0.0007822,0.0007822,0.0007822
24,333.386,1.44013,1.76915,1.57264,0.66288,0.42592,0.46174,0.31942,1.79564,2.55436,1.95385,0.0007723,0.0007723,0.0007723
25,344.985,1.38246,1.74008,1.53635,0.63293,0.54389,0.57568,0.40514,1.51879,1.86315,1.58823,0.0007624,0.0007624,0.0007624
26,357.3,1.40794,1.74056,1.53789,0.58077,0.58872,0.57556,0.40111,1.5949,1.9239,1.67279,0.0007525,0.0007525,0.0007525
27,370.282,1.41829,1.74897,1.56113,0.62386,0.55245,0.57799,0.4086,1.55561,1.88856,1.65557,0.0007426,0.0007426,0.0007426
28,383.128,1.40779,1.71668,1.54709,0.55697,0.56608,0.56995,0.39186,1.62653,1.95663,1.71308,0.0007327,0.0007327,0.0007327
29,395.684,1.39543,1.72059,1.5351,0.65321,0.56442,0.57839,0.38793,1.63491,1.87845,1.67761,0.0007228,0.0007228,0.0007228
30,408.386,1.39015,1.67579,1.52025,0.58492,0.56078,0.5767,0.39431,1.61692,1.90253,1.67817,0.0007129,0.0007129,0.0007129
31,421.143,1.38655,1.68329,1.52544,0.70314,0.54652,0.59644,0.40504,1.61466,1.83346,1.67339,0.000703,0.000703,0.000703
32,433.305,1.38245,1.68352,1.52345,0.63879,0.55414,0.58008,0.39498,1.63844,1.85114,1.66473,0.0006931,0.0006931,0.0006931
33,446.162,1.38239,1.66005,1.50984,0.71579,0.50996,0.56356,0.37509,1.70396,1.99113,1.77509,0.0006832,0.0006832,0.0006832
34,458.961,1.39663,1.65455,1.52069,0.6072,0.57163,0.58376,0.40618,1.59884,1.84758,1.65429,0.0006733,0.0006733,0.0006733
35,471.156,1.34259,1.59436,1.49065,0.56047,0.59922,0.58195,0.40776,1.6033,1.83572,1.65898,0.0006634,0.0006634,0.0006634
36,482.982,1.35747,1.56758,1.48274,0.63809,0.56057,0.59484,0.40639,1.60133,1.83009,1.65974,0.0006535,0.0006535,0.0006535
37,494.952,1.3385,1.58602,1.48611,0.62068,0.58653,0.60115,0.42223,1.57804,1.78585,1.62316,0.0006436,0.0006436,0.0006436
38,507.559,1.34296,1.57856,1.4801,0.60297,0.56552,0.57943,0.41702,1.59464,1.8618,1.65355,0.0006337,0.0006337,0.0006337
39,520.395,1.3379,1.55703,1.47903,0.63871,0.5913,0.59636,0.42191,1.5461,1.80483,1.62726,0.0006238,0.0006238,0.0006238
40,533.401,1.33047,1.52624,1.47298,0.65528,0.56891,0.59587,0.42251,1.52817,1.77988,1.58762,0.0006139,0.0006139,0.0006139
